17 , 97 , 5 , 
11 , 27 , 82 , 
10 , 58 , 62 , 
12 , 21 , 99 , 
91 , 87 , 19 , 
34 , 76 , 57 , 
87 , 63 , 71 , 
18 , 48 , 81 , 
95 , 40 , 60 , 
0 , 78 , 8 , 
6 , 24 , 43 , 
47 , 54 , 0 , 
88 , 69 , 19 , 
61 , 29 , 61 , 
6 , 54 , 35 , 
79 , 84 , 35 , 
97 , 9 , 87 , 
98 , 85 , 64 , 
90 , 67 , 62 , 
90 , 70 , 33 , 
47 , 94 , 63 , 
48 , 76 , 38 , 
33 , 40 , 67 , 
22 , 65 , 35 , 
21 , 80 , 31 , 
4 , 65 , 99 , 
60 , 97 , 74 , 
41 , 90 , 95 , 
78 , 39 , 79 , 
13 , 76 , 87 , 
31 , 3 , 13 , 
6 , 58 , 12 , 
68 , 9 , 76 , 
84 , 34 , 38 , 
62 , 37 , 41 , 
